metal_impurity,humidity,capacity,residual_li,quality_defect
0.019364947,34.39171849,224.746,1899.8,0
0.023586925,59.01792966,195.759,3061.587,0
0.026898645,59.78033071,191.347,3742.394,0
0.025266738,46.74867987,201.304,3025.672,0
0.03141682,55.94603337,189.004,3645.211,0
0.019992793,50.54063256,210.59,3155.901,0
0.032942252,43.07335107,198.615,2810.013,0
0.020545271,46.30118566,220.016,2286.768,0
0.020458136,46.58197883,211.465,3101.219,0
0.026014536,53.89577985,189.023,3186.978,0
0.032151039,,204.816,2377.569,0
0.017864865,55.90012455,211.33,2514.607,0
0.021325147,45.24680035,205.379,3203.383,0
0.019280449,51.43420508,196.429,4225.058,0
0.024656913,46.88152157,204.679,2900.317,0
0.023836402,,189.083,3911.208,0
0.028021203,58.52784185,194.096,3606.611,0
0.019659941,57.86191609,204.027,2567.713,0
0.020147029,57.4525841,204.275,2768.737,0
0.029937138,51.38070334,191.962,3422.75,0
0.025416907,53.43005151,199.668,3088.746,0
0.02893451,61.69155434,178.943,3657.022,0
0.03124611,50.72467926,201.709,2310.213,0
0.027955186,39.38885826,209.997,2425.55,0
0.024056034,48.20912946,209.656,2492.095,0
0.016438588,47.70093311,196.553,3629.127,0
0.039525009,41.50068471,185.568,2857.982,0
0.036167379,64.69530823,155.713,4105.228,1
0.025922399,53.4781286,194.359,3707.529,0
0.02545379,58.10172654,199.156,3791.127,0
0.027905703,62.58683922,188.355,2857.966,0
0.035546983,53.63536271,190.939,3216.822,0
0.026414847,61.77193578,195.305,3760.332,0
0.023675994,37.72910876,202.781,2564.665,0
0.013120013,59.41929511,210.791,3853.029,0
0.028625603,40.57357102,202.243,2800.799,0
0.025833387,40.62394246,207.522,4058.381,0
0.027901302,52.49607577,202.457,3589.82,0
0.022238642,45.2711726,216.353,1676.25,0
0.018390769,51.86302416,207.316,2712.725,0
0.021870782,48.99992776,195.695,2908.558,0
0.006489181,56.73456054,206.321,3799.496,0
0.030504213,37.18192367,197.554,2205.835,0
0.029626479,50.43482868,201.336,3507.877,0
0.017493261,48.56310869,212.511,2347.87,0
0.02983356,39.62822138,215.771,1552.614,0
0.017686208,49.44689652,214.983,2168.567,0
0.024202108,63.76615865,185.654,4197.04,0
0.021863245,45.72879809,194.503,3181.796,0
0.0183067,38.18513747,221.372,2226.629,0
0.008656547,50.55504908,222.478,2531.048,0
0.030549315,33.41613251,217.83,2068.071,0
0.019373476,47.7250893,207.928,2893.872,0
0.007343744,61.46571605,217.633,2674.324,0
,58.68229604,197.542,3281.413,0
,38.03951336,201.912,3590.102,0
0.017786739,45.52342171,217.426,1594.038,0
0.014919661,44.49302174,220.134,2808.293,0
0.015245005,61.64036461,202.726,3282.459,0
,55.09976722,207.199,3582.144,0
0.021756674,47.97297945,208.281,2614.708,0
0.022341893,66.28058642,188.017,3070.594,0
0.020397955,50.40913647,210.879,2754.142,0
0.026963893,49.45615795,199.803,2567.815,0
0.026669808,30.72062427,218.181,1954.954,0
0.027438345,62.88892919,188.399,3991.987,0
0.024540903,51.93327776,207.595,2783.468,0
0.018683909,53.58479491,203.152,2834.891,0
0.031091713,55.71056109,176.634,3928.758,0
0.021327262,45.73238122,209.775,3251.142,0
0.02703827,47.51612819,187.045,4176.252,0
0.020837507,51.37568266,201.45,2919.625,0
0.011380859,63.34310089,212.197,2771.852,0
0.027271264,49.85949739,199.345,2895.613,0
0.029994732,56.27875229,194.468,2895.807,0
0.018954293,48.66457656,193.379,4329.003,0
