feature,importance
lithium_input,271.9764709472656
humidity,175.54103088378906
temp_dev_from_800,173.76358032226562
temp_x_humidity,86.79714965820312
temp_dev_from_800_sq,65.84097290039062
process_time,41.41025161743164
flag_lithium_ge10pct,27.088394165039062
sintering_temp,22.592132568359375
flag_humidity_ge10pct,16.613418579101562
flag_humidity_ge5pct,16.506336212158203
d50,5.833982944488525
additive_ratio,5.519694805145264
flag_temp_high_ge5pct,5.41505765914917
metal_impurity,5.404501438140869
tank_pressure,5.122879505157471
flag_humidity_ge20pct,5.0088791847229
d90,2.706378698348999
particle_span,2.4136643409729004
flag_humidity_ge30pct,1.7092416286468506
flag_temp_low_ge5pct,1.5011003017425537
flag_temp_humidity_danger_zone,1.2479984760284424
operator_id,0.8005345463752747
flag_temp_high_ge20pct,0.4439402222633362
flag_metal_ge40pct,0.44374966621398926
flag_temp_high_ge25pct,0.2470943182706833
flag_temp_low_ge20pct,0.23993010818958282
flag_metal_ge20pct,0.22316093742847443
flag_metal_ge5pct,0.18678399920463562
flag_metal_ge10pct,0.040955208241939545
