feature,importance
metal_impurity,0.8549891820378482
temp_x_humidity,0.5063206842700887
temp_dev_from_800_sq,0.4473993374614355
humidity,0.4207287488376289
temp_dev_from_800,0.4180564599075902
flag_metal_ge10pct,0.26013043674082437
flag_humidity_ge10pct,0.1839156297699408
d90,0.17771522712672996
flag_metal_ge5pct,0.1516225108115255
process_time,0.11443559621906575
tank_pressure,0.10100487458874595
additive_ratio,0.08509382273857655
flag_temp_high_ge5pct,0.07163244875166185
sintering_temp,0.06999187041480812
flag_humidity_ge5pct,0.06928738974617664
flag_metal_ge20pct,0.06491552727890204
d50,0.060607388996840275
lithium_input,0.047834179726238046
particle_span,0.04167769308389628
flag_metal_ge40pct,0.03768560080173316
flag_humidity_ge20pct,0.03206898254992623
flag_temp_low_ge20pct,0.026760883098491613
flag_humidity_ge30pct,0.018743234791099614
flag_temp_low_ge5pct,0.016270695978308013
operator_id,0.014271177706076527
flag_temp_high_ge20pct,0.006544558048241391
flag_temp_high_ge25pct,0.005964901153450138
flag_lithium_ge10pct,0.004183187533110263
flag_temp_humidity_danger_zone,0.0006044210933290291
