feature,importance
metal_impurity,4.917675971984863
humidity,3.020524501800537
temp_dev_from_800,2.491030693054199
temp_x_humidity,1.3187470436096191
temp_dev_from_800_sq,0.9623058438301086
process_time,0.6497451663017273
flag_metal_ge5pct,0.5837010741233826
sintering_temp,0.37761548161506653
flag_humidity_ge5pct,0.2849113643169403
flag_metal_ge10pct,0.2668636441230774
flag_humidity_ge10pct,0.22076749801635742
flag_metal_ge20pct,0.1519075632095337
flag_humidity_ge20pct,0.12826839089393616
tank_pressure,0.0825556293129921
flag_metal_ge40pct,0.06661107391119003
additive_ratio,0.06615450233221054
flag_temp_high_ge5pct,0.03681083768606186
flag_humidity_ge30pct,0.03210834413766861
particle_span,0.029389308765530586
lithium_input,0.027720937505364418
d50,0.026585031300783157
d90,0.02026151306927204
flag_temp_low_ge20pct,0.014937111176550388
flag_temp_high_ge20pct,0.010513565503060818
operator_id,0.010462472215294838
flag_temp_high_ge25pct,0.00928164180368185
flag_temp_low_ge5pct,0.008461502380669117
flag_temp_humidity_danger_zone,0.006415131036192179
flag_lithium_ge10pct,0.0
