feature,importance
lithium_input,264.8565271145391
humidity,138.94799414169063
temp_dev_from_800,122.83309585119612
temp_dev_from_800_sq,119.73858279090297
temp_x_humidity,105.05283822267693
process_time,44.65896290522845
flag_humidity_ge10pct,38.50499022237998
flag_lithium_ge10pct,35.23657719913497
sintering_temp,19.91583464972026
flag_humidity_ge5pct,16.249997956472583
flag_temp_high_ge5pct,12.23713645383543
flag_humidity_ge20pct,10.902370582580234
d50,9.720776554650229
additive_ratio,8.941332518761541
metal_impurity,8.34732896566531
tank_pressure,7.59292723680592
d90,6.2852819908013515
particle_span,5.095552466713538
flag_humidity_ge30pct,4.64287685468612
operator_id,2.514016163061469
flag_temp_low_ge20pct,1.7126108769376078
flag_metal_ge5pct,1.1791313527793574
flag_temp_low_ge5pct,1.1373644247385926
flag_temp_high_ge25pct,1.0402170152552954
flag_temp_humidity_danger_zone,1.01437839105608
flag_temp_high_ge20pct,0.9953263773549343
flag_metal_ge40pct,0.789495791218509
flag_metal_ge20pct,0.30746608824254457
flag_metal_ge10pct,0.2975195612208501
