feature,importance
metal_impurity,1.0073225498199463
temp_dev_from_800,0.7179693579673767
humidity,0.4989895224571228
temp_x_humidity,0.3566163182258606
flag_metal_ge10pct,0.10977031290531158
process_time,0.10811763256788254
temp_dev_from_800_sq,0.09900693595409393
sintering_temp,0.08016557991504669
d90,0.07454405725002289
flag_metal_ge5pct,0.06591241806745529
flag_humidity_ge10pct,0.05464022606611252
additive_ratio,0.04952384531497955
d50,0.03472195938229561
flag_metal_ge20pct,0.033739425241947174
tank_pressure,0.028991147875785828
lithium_input,0.02618974633514881
flag_metal_ge40pct,0.02509489841759205
flag_temp_low_ge20pct,0.020043611526489258
particle_span,0.019374558702111244
flag_humidity_ge30pct,0.017000872641801834
flag_temp_high_ge5pct,0.016787473112344742
flag_humidity_ge20pct,0.0110251409932971
flag_temp_low_ge5pct,0.010876912623643875
flag_temp_humidity_danger_zone,0.006554346531629562
operator_id,0.005463115405291319
flag_temp_high_ge20pct,0.00423257052898407
flag_humidity_ge5pct,0.0033063897863030434
flag_temp_high_ge25pct,0.0015300243394449353
flag_lithium_ge10pct,0.00039571122033521533
