complexity,loss,equation,score,sympy_format,lambda_format
1,0.07642357,0.0833864,0.0,0.0833864000000000,PySRFunction(X=>0.0833864000000000)
2,0.042902462,square(p_clf_d90),0.5773619428824563,p_clf_d90**2,PySRFunction(X=>p_clf_d90**2)
3,0.037570048,square(square(p_clf_d90)),0.1327220763644792,p_clf_d90**4,PySRFunction(X=>p_clf_d90**4)
4,0.037374206,square(p_clf_d90) * p_clf_d90,0.005226349862146701,p_clf_d90*p_clf_d90**2,PySRFunction(X=>p_clf_d90*p_clf_d90**2)
5,0.037126634,square(-0.038285248 - square(p_clf_d90)),0.006646177715720339,(-p_clf_d90**2 - 0.038285248)**2,PySRFunction(X=>(-p_clf_d90**2 - 0.038285248)**2)
6,0.03709574,square(square(p_clf_d90)) / p_legacy_clf,0.0008324713996387684,p_clf_d90**4/p_legacy_clf,PySRFunction(X=>p_clf_d90**4/p_legacy_clf)
8,0.03699583,square(square(-0.009606312 + p_clf_d90)) / p_legacy_clf,0.0013484673162895645,(p_clf_d90 - 0.009606312)**4/p_legacy_clf,PySRFunction(X=>(p_clf_d90 - 0.009606312)**4/p_legacy_clf)
10,0.03697664,(sqrt(p_clf_d90) * square(square(p_clf_d90))) / p_legacy_clf,0.0002594208417062538,p_clf_d90**(9/2)/p_legacy_clf,PySRFunction(X=>p_clf_d90**(9/2)/p_legacy_clf)
12,0.036769085,square(((square(p_clf_d90) * -0.3634291) * capacity) / sqrt(residual_li)),0.002814475659884012,0.13208071072681*capacity**2*p_clf_d90**4/residual_li,PySRFunction(X=>0.13208071072681*capacity**2*p_clf_d90**4/residual_li)
14,0.03676889,square(square(p_clf_d90) * (((capacity + -0.7990435) / sqrt(residual_li)) * -0.36500835)),2.6516911840973132e-06,0.133231095569722*p_clf_d90**4*(capacity - 0.7990435)**2/residual_li,PySRFunction(X=>0.133231095569722*p_clf_d90**4*(capacity - 0.7990435)**2/residual_li)
16,0.03676585,square(square(p_clf_d90) * ((((p_clf_d90 + capacity) - 1.0252606) * -0.3636875) / sqrt(residual_li))),4.134100428893645e-05,p_clf_d90**4*(-0.3636875*capacity - 0.3636875*p_clf_d90 + 0.3728744644625)**2/residual_li,PySRFunction(X=>p_clf_d90**4*(-0.3636875*capacity - 0.3636875*p_clf_d90 + 0.3728744644625)**2/residual_li)
17,0.036762908,square(square(p_clf_d90) * (((square(p_clf_d90) + (capacity - 0.7203105)) * -0.36329344) / sqrt(residual_li))),8.002311154435596e-05,p_clf_d90**4*(-0.36329344*capacity - 0.36329344*p_clf_d90**2 + 0.26168407941312)**2/residual_li,PySRFunction(X=>p_clf_d90**4*(-0.36329344*capacity - 0.36329344*p_clf_d90**2 + 0.26168407941312)**2/residual_li)
18,0.036729112,square(square(p_clf_d90) * (-0.4303246 / sqrt(((residual_li / capacity) - -8.555836) / capacity))),0.0009197189676453238,0.18517926136516*capacity*p_clf_d90**4/(8.555836 + residual_li/capacity),PySRFunction(X=>0.18517926136516*capacity*p_clf_d90**4/(8.555836 + residual_li/capacity))
