feature,importance
metal_impurity,4.104531139730788
humidity,2.079378619352321
temp_dev_from_800_sq,1.9195351420006521
temp_dev_from_800,1.5232654387496456
temp_x_humidity,1.4379057517432285
flag_metal_ge5pct,0.8601527989125
flag_metal_ge10pct,0.8484781932882195
flag_humidity_ge10pct,0.837953190138193
process_time,0.6695837023377469
flag_humidity_ge5pct,0.5854197857105321
flag_metal_ge20pct,0.4861780425350592
flag_humidity_ge20pct,0.2696673231688199
sintering_temp,0.2650762208835
flag_temp_high_ge5pct,0.2053214100160013
flag_metal_ge40pct,0.14632308571095554
tank_pressure,0.10103052280935375
additive_ratio,0.09058758520730459
flag_humidity_ge30pct,0.07664993285849889
flag_temp_high_ge25pct,0.07149492767309043
lithium_input,0.05833014046910306
flag_temp_high_ge20pct,0.05601697680824682
particle_span,0.052262367244011704
d90,0.04803089253363429
d50,0.03341983866871881
flag_temp_low_ge5pct,0.02921677500229182
flag_temp_low_ge20pct,0.029100113329071607
operator_id,0.015509471050005797
flag_temp_humidity_danger_zone,0.01001522437656271
flag_lithium_ge10pct,0.0
